phenotype,formula,term,qtl,df,SS,MS,LOD,%var,p.Chi2,s.Chi2,p.F,s.F,Type III SS
Al_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,261.11,52.22,5.31,19.15,1.78e-04,***,2.73e-04,***,NA
Al_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,0.08,0.27,5.39e-01,NS,5.51e-01,NS,3.63
Al_leaf,y ~ Q1 + Q2 + hun,Q1,1@95.7,2,NA,NA,3.21,11.1,6.11e-04,***,9.00e-04,***,151.38
Al_leaf,y ~ Q1 + Q2 + hun,Q2,5@96.9,2,NA,NA,2.84,9.74,1.45e-03,**,2.04e-03,**,132.74
As_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,0.03,0.01,13.34,41.93,6.19e-12,***,2.02e-11,***,NA
As_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,9.66,28,2.59e-11,***,9.52e-11,***,0.02
As_leaf,y ~ Q1 + Q2 + hun,Q1,4@122.8,2,NA,NA,3.08,7.77,8.26e-04,***,1.20e-03,**,0.01
As_leaf,y ~ Q1 + Q2 + hun,Q2,5@100.0,2,NA,NA,2.23,5.53,5.85e-03,**,7.68e-03,**,0
As_seed,y ~ Q1 + Q2 + Q3 + hun,Full Model,Full Model,7,0,0,10.42,34.6,3.57e-08,***,1.04e-07,***,NA
As_seed,y ~ Q1 + Q2 + Q3 + hun,hun,hun,1,NA,NA,4.12,11.96,1.33e-05,***,2.80e-05,***,0
As_seed,y ~ Q1 + Q2 + Q3 + hun,Q1,2@25.7,2,NA,NA,2,5.54,1.01e-02,*,1.40e-02,*,0
As_seed,y ~ Q1 + Q2 + Q3 + hun,Q2,5@67.5,2,NA,NA,1.53,4.21,2.95e-02,*,3.78e-02,*,0
As_seed,y ~ Q1 + Q2 + Q3 + hun,Q3,8@44.5,2,NA,NA,3.68,10.57,2.11e-04,***,3.84e-04,***,0
Ca_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,93835555.59,18767111.12,8.11,27.93,5.12e-07,***,1.02e-06,***,NA
Ca_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,3.04,9.42,1.83e-04,***,2.80e-04,***,31636051.01
Ca_leaf,y ~ Q1 + Q2 + hun,Q1,1@111.4,2,NA,NA,3.81,11.98,1.56e-04,***,2.47e-04,***,40263106.81
Ca_leaf,y ~ Q1 + Q2 + hun,Q2,4@77.5,2,NA,NA,2.53,7.75,2.95e-03,**,4.01e-03,**,26051388.58
Cd_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,0.01,0,11.9,37.9,1.45e-10,***,4.05e-10,***,NA
Cd_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,0.61,1.53,9.46e-02,NS,1.04e-01,NS,0
Cd_leaf,y ~ Q1 + Q2 + hun,Q1,1@153.0,2,NA,NA,5.22,14.44,6.02e-06,***,1.13e-05,***,0
Cd_leaf,y ~ Q1 + Q2 + hun,Q2,2@57.8,2,NA,NA,8.07,23.7,8.48e-09,***,2.24e-08,***,0
Cd_seed,y ~ Q1 + hun,Full Model,Full Model,3,0,0,8.84,30.25,7.55e-09,***,1.40e-08,***,NA
Cd_seed,y ~ Q1 + hun,Q1,2@58.9,2,NA,NA,6.49,21.12,3.23e-07,***,5.48e-07,***,0
Cd_seed,y ~ Q1 + hun,Q1,hun,1,NA,NA,4.33,13.47,7.95e-06,***,1.20e-05,***,0
Co_leaf,y ~ Q1 + hun,Full Model,Full Model,3,0.01,0,3.7,13.77,6.92e-04,***,8.85e-04,***,NA
Co_leaf,y ~ Q1 + hun,Q1,1@83.8,2,NA,NA,3.5,12.96,3.18e-04,***,4.21e-04,***,0.01
Co_leaf,y ~ Q1 + hun,Q1,hun,1,NA,NA,0.14,0.47,4.30e-01,NS,4.39e-01,NS,0
Cu_leaf,y ~ Q1 + Q2 + Q3 + Q4 + hun,Full Model,Full Model,9,215.59,23.95,37.24,77.49,0.00e+00,***,0.00e+00,***,NA
Cu_leaf,y ~ Q1 + Q2 + Q3 + Q4 + hun,hun,hun,1,NA,NA,20.82,29.31,0.00e+00,***,0.00e+00,***,81.55
Cu_leaf,y ~ Q1 + Q2 + Q3 + Q4 + hun,Q1,1@138.2,2,NA,NA,3.69,3.58,2.05e-04,***,4.28e-04,***,9.97
Cu_leaf,y ~ Q1 + Q2 + Q3 + Q4 + hun,Q2,10@60.9,2,NA,NA,4.39,4.32,4.09e-05,***,9.85e-05,***,12.03
Cu_leaf,y ~ Q1 + Q2 + Q3 + Q4 + hun,Q3,5@28.0,2,NA,NA,1.47,1.37,3.38e-02,*,4.53e-02,*,3.8
Cu_leaf,y ~ Q1 + Q2 + Q3 + Q4 + hun,Q4,7@96.6,2,NA,NA,2.89,2.76,1.29e-03,**,2.30e-03,**,7.68
Cu_seed,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,17.23,3.45,26.16,65.25,0.00e+00,***,0.00e+00,***,NA
Cu_seed,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,21.06,46.62,0.00e+00,***,0.00e+00,***,12.31
Cu_seed,y ~ Q1 + Q2 + hun,Q1,1@112.5,2,NA,NA,3.85,5.85,1.40e-04,***,2.23e-04,***,1.55
Cu_seed,y ~ Q1 + Q2 + hun,Q2,5@92.3,2,NA,NA,1.92,2.8,1.21e-02,*,1.53e-02,*,0.74
Fe_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,72167.69,14433.54,21.57,58.16,0.00e+00,***,0.00e+00,***,NA
Fe_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,17.03,41.41,0.00e+00,***,0.00e+00,***,51379.71
Fe_leaf,y ~ Q1 + Q2 + hun,Q1,3@35.1,2,NA,NA,4.62,8.58,2.41e-05,***,4.21e-05,***,10650.35
Fe_leaf,y ~ Q1 + Q2 + hun,Q2,4@65.7,2,NA,NA,1.82,3.2,1.51e-02,*,1.88e-02,*,3964.73
Fe_seed,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,1733.27,346.65,16.31,48.26,8.77e-15,***,3.76e-14,***,NA
Fe_seed,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,5.36,12.52,6.68e-07,***,1.39e-06,***,449.75
Fe_seed,y ~ Q1 + Q2 + hun,Q1,3@0.5,2,NA,NA,1.85,4.01,1.42e-02,*,1.78e-02,*,143.97
Fe_seed,y ~ Q1 + Q2 + hun,Q2,5@22.0,2,NA,NA,1.4,3,4.02e-02,*,4.76e-02,*,107.78
K_leaf,y ~ Q1 + hun,Full Model,Full Model,3,383887556.69,127962518.9,6.14,21.81,3.16e-06,***,4.79e-06,***,NA
K_leaf,y ~ Q1 + hun,Q1,3@129.5,2,NA,NA,3.81,12.88,1.55e-04,***,2.11e-04,***,226772760.1
K_leaf,y ~ Q1 + hun,Q1,hun,1,NA,NA,3.07,10.22,1.71e-04,***,2.29e-04,***,179940486.07
K_seed,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,10620553.76,2124110.75,5.75,20.74,7.15e-05,***,1.15e-04,***,NA
K_seed,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,2.16,7.24,1.59e-03,**,2.17e-03,**,3709664.13
K_seed,y ~ Q1 + Q2 + hun,Q1,5@0.5,2,NA,NA,3.7,12.78,1.99e-04,***,3.11e-04,***,6546764.38
K_seed,y ~ Q1 + Q2 + hun,Q2,6@0.4,2,NA,NA,2.31,7.75,4.90e-03,**,6.48e-03,**,3970579.08
Mg_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,12408040.89,2481608.18,9.84,32.81,1.24e-08,***,2.90e-08,***,NA
Mg_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,2.97,8.57,2.16e-04,***,3.27e-04,***,3242307.77
Mg_leaf,y ~ Q1 + Q2 + hun,Q1,1@169.5,2,NA,NA,3.25,9.42,5.63e-04,***,8.35e-04,***,3564107.85
Mg_leaf,y ~ Q1 + Q2 + hun,Q2,5@1.5,2,NA,NA,2.27,6.45,5.37e-03,**,7.07e-03,**,2440533.9
Mg_seed,y ~ Q1 + hun,Full Model,Full Model,3,278038.01,92679.34,1.86,7.22,3.60e-02,*,4.06e-02,*,NA
Mg_seed,y ~ Q1 + hun,Q1,1@126.7,2,NA,NA,1.54,5.97,2.86e-02,*,3.24e-02,*,229849.58
Mg_seed,y ~ Q1 + hun,Q1,hun,1,NA,NA,0.26,0.99,2.72e-01,NS,2.82e-01,NS,37975.48
Mn_leaf,y ~ Q1 + Q2 + Q3 + hun,Full Model,Full Model,7,108108.01,15444,12.92,40.4,1.88e-10,***,7.15e-10,***,NA
Mn_leaf,y ~ Q1 + Q2 + Q3 + hun,hun,hun,1,NA,NA,1.46,3.6,9.44e-03,**,1.25e-02,*,9621.54
Mn_leaf,y ~ Q1 + Q2 + Q3 + hun,Q1,1@154.7,2,NA,NA,2.56,6.43,2.77e-03,**,4.17e-03,**,17198.98
Mn_leaf,y ~ Q1 + Q2 + Q3 + hun,Q2,4@82.5,2,NA,NA,2.08,5.18,8.28e-03,**,1.16e-02,*,13865.82
Mn_leaf,y ~ Q1 + Q2 + Q3 + hun,Q3,5@11.0,2,NA,NA,1.83,4.54,1.47e-02,*,1.97e-02,*,12144.56
Mn_seed,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,45.15,9.03,8.89,30.17,9.67e-08,***,2.07e-07,***,NA
Mn_seed,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,3.16,9.52,1.35e-04,***,2.09e-04,***,14.25
Mn_seed,y ~ Q1 + Q2 + hun,Q1,2@51.6,2,NA,NA,2.28,6.75,5.21e-03,**,6.87e-03,**,10.1
Mn_seed,y ~ Q1 + Q2 + hun,Q2,5@54.7,2,NA,NA,3.08,9.26,8.28e-04,***,1.20e-03,**,13.86
Mo_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,0.15,0.03,7.15,24.9,3.89e-06,***,7.04e-06,***,NA
Mo_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,3.1,9.93,1.58e-04,***,2.42e-04,***,0.06
Mo_leaf,y ~ Q1 + Q2 + hun,Q1,10@7.5,2,NA,NA,1.73,5.38,1.87e-02,*,2.30e-02,*,0.03
Mo_leaf,y ~ Q1 + Q2 + hun,Q2,3@115.1,2,NA,NA,2.38,7.52,4.15e-03,**,5.52e-03,**,0.04
Mo_seed,y ~ Q1 + hun,Full Model,Full Model,3,0.05,0.02,2.25,8.77,1.56e-02,*,1.81e-02,*,NA
Mo_seed,y ~ Q1 + hun,Q1,3@19.2,2,NA,NA,1.68,6.45,2.11e-02,*,2.42e-02,*,0.04
Mo_seed,y ~ Q1 + hun,Q1,hun,1,NA,NA,0.8,3.01,5.56e-02,NS,6.07e-02,NS,0.02
Na_leaf,y ~ Q1 + hun,Full Model,Full Model,3,525.4,175.13,8.51,28.89,1.57e-08,***,2.81e-08,***,NA
Na_leaf,y ~ Q1 + hun,Q1,9@64.0,2,NA,NA,6.1,19.68,7.90e-07,***,1.29e-06,***,357.96
Na_leaf,y ~ Q1 + hun,Q1,hun,1,NA,NA,2.28,6.8,1.19e-03,**,1.49e-03,**,123.63
Ni_seed,y ~ Q1 + hun,Full Model,Full Model,3,0,0,12.5,40.18,1.97e-12,***,4.79e-12,***,NA
Ni_seed,y ~ Q1 + hun,Q1,9@1.0,2,NA,NA,11.18,34.91,6.63e-12,***,1.66e-11,***,0
Ni_seed,y ~ Q1 + hun,Q1,hun,1,NA,NA,1.63,4.15,6.12e-03,**,7.24e-03,**,0
P_leaf,y ~ Q1 + Q2 + hun,Full Model,Full Model,5,3274523.13,654904.63,9.28,31.04,4.19e-08,***,9.21e-08,***,NA
P_leaf,y ~ Q1 + Q2 + hun,hun,hun,1,NA,NA,5.47,16.87,5.25e-07,***,1.10e-06,***,1780099.19
P_leaf,y ~ Q1 + Q2 + hun,Q1,1@134.0,2,NA,NA,3.25,9.57,5.68e-04,***,8.39e-04,***,1009898.08
P_leaf,y ~ Q1 + Q2 + hun,Q2,7@4.5,2,NA,NA,1.99,5.71,1.03e-02,*,1.31e-02,*,602270.58
S_seed,y ~ Q1 + hun,Full Model,Full Model,3,857598.29,285866.1,3.9,14.59,4.44e-04,***,5.77e-04,***,NA
S_seed,y ~ Q1 + hun,Q1,1@60.5,2,NA,NA,3.66,13.6,2.20e-04,***,2.95e-04,***,799349.33
S_seed,y ~ Q1 + hun,Q1,hun,1,NA,NA,0.19,0.65,3.51e-01,NS,3.61e-01,NS,38452.34
Sr_leaf,y ~ Q1 + hun,Full Model,Full Model,3,1544.51,514.84,4.95,18.12,4.46e-05,***,6.25e-05,***,NA
Sr_leaf,y ~ Q1 + hun,Q1,1@67.6,2,NA,NA,3.87,13.87,1.33e-04,***,1.82e-04,***,1182.48
Sr_leaf,y ~ Q1 + hun,Q1,hun,1,NA,NA,1.35,4.59,1.27e-02,*,1.46e-02,*,390.87
Sr_seed,y ~ Q1 + Q2 + Q3 + hun,Full Model,Full Model,7,1.31,0.19,10.17,33.7,5.97e-08,***,1.67e-07,***,NA
Sr_seed,y ~ Q1 + Q2 + Q3 + hun,hun,hun,1,NA,NA,2.92,8.3,2.45e-04,***,4.19e-04,***,0.32
Sr_seed,y ~ Q1 + Q2 + Q3 + hun,Q1,2@128.5,2,NA,NA,1.63,4.52,2.33e-02,*,3.03e-02,*,0.18
Sr_seed,y ~ Q1 + Q2 + Q3 + hun,Q2,5@55.1,2,NA,NA,1.91,5.32,1.23e-02,*,1.67e-02,*,0.21
Sr_seed,y ~ Q1 + Q2 + Q3 + hun,Q3,9@99.0,2,NA,NA,3.95,11.47,1.12e-04,***,2.13e-04,***,0.45
Zn_leaf,y ~ Q1 + hun,Full Model,Full Model,3,17482.51,5827.5,34.03,74.4,0.00e+00,***,0.00e+00,***,NA
Zn_leaf,y ~ Q1 + hun,Q1,8@0.0,2,NA,NA,2.53,2.73,2.92e-03,**,3.58e-03,**,642.43
Zn_leaf,y ~ Q1 + hun,Q1,hun,1,NA,NA,29.86,59.03,0.00e+00,***,0.00e+00,***,13869.4
Zn_seed,y ~ Q1 + Q2 + Q3 + hun,Full Model,Full Model,7,1692.54,241.79,26.22,65.33,0.00e+00,***,0.00e+00,***,NA
Zn_seed,y ~ Q1 + Q2 + Q3 + hun,hun,hun,1,NA,NA,22.01,49.69,0.00e+00,***,0.00e+00,***,1287.36
Zn_seed,y ~ Q1 + Q2 + Q3 + hun,Q1,1@33.7,2,NA,NA,1.79,2.6,1.62e-02,*,2.16e-02,*,67.39
Zn_seed,y ~ Q1 + Q2 + Q3 + hun,Q2,3@110.0,2,NA,NA,2.08,3.04,8.34e-03,**,1.17e-02,*,78.7
Zn_seed,y ~ Q1 + Q2 + Q3 + hun,Q3,5@90.4,2,NA,NA,2.21,3.24,6.14e-03,**,8.78e-03,**,83.96
